,strategy,stoploss,takeprofit,nPCs,Accuracy,nTrades,AverageDurationInMin
0,Bullish,0.04,0.05,10,0.6154019466474405,22192,4123.689617880317
0,Bullish,0.04,0.05,25,0.4749,30000,4066.5781666666667
0,Bullish,0.04,0.05,40,0.3878215181932246,25504,3801.4650643036384
0,Bullish,0.04,0.05,65,0.5706953729536243,37994,3975.4158551350215
0,Bullish,0.04,0.05,80,0.524111635465825,31997,4872.318967403194
0,Bullish,0.04,0.05,95,0.48835810119728057,33242,4170.417393658625
0,Bullish,0.04,0.05,110,0.47127655813624636,28287,4408.768869091809
0,Bullish,0.05,0.01,10,0.84995529422462,65987,1134.4552714928698
0,Bullish,0.05,0.01,25,0.8427026226107571,67490,1171.1258704993331
0,Bullish,0.05,0.01,40,0.8221354975091283,67647,1240.0984522595238
0,Bullish,0.05,0.01,65,0.847239241906892,84053,1100.9223347173806
0,Bullish,0.05,0.01,80,0.813576537305853,70887,1336.4224046722247
0,Bullish,0.05,0.01,95,0.8231626859709226,82607,1209.0251431476752
0,Bullish,0.05,0.01,110,0.8172930407411939,89909,1211.167569431314
0,Bullish,0.05,0.02,10,0.7606876529857118,52701,2274.5342593119676
0,Bullish,0.05,0.02,25,0.7128628815173728,48294,2302.5870708576635
0,Bullish,0.05,0.02,40,0.7067166964618982,50903,2267.9966799599238
0,Bullish,0.05,0.02,65,0.7038394752074089,57013,2355.6941399329976
0,Bullish,0.05,0.02,80,0.7141181920838521,69074,2151.2957118452673
0,Bullish,0.05,0.02,95,0.7026364366536559,70967,2159.6904899460314
0,Bullish,0.05,0.02,110,0.6721894748021879,75324,2336.402009983538
0,Bullish,0.05,0.03,10,0.7406628360352965,38984,3169.7406628360354
0,Bullish,0.05,0.03,25,0.6543383422200678,41260,3132.907416383907
0,Bullish,0.05,0.03,40,0.6584240680572435,40319,2964.0534239440462
0,Bullish,0.05,0.03,65,0.6703381496331039,66095,2960.24162190786
0,Bullish,0.05,0.03,80,0.6448325066249915,58868,3203.040956037236
0,Bullish,0.05,0.03,95,0.628519318895888,65247,2879.1924532928715
0,Bullish,0.05,0.03,110,0.6108873974645787,73755,2967.1363297403564
0,Bullish,0.05,0.04,10,0.7013895967111745,29433,4269.008425916489
0,Bullish,0.05,0.04,25,0.5863881097462682,31017,4130.040945288068
0,Bullish,0.05,0.04,40,0.5894736842105263,27645,4610.823114487249
0,Bullish,0.05,0.04,65,0.6210210889353762,53061,3810.167731478864
0,Bullish,0.05,0.04,80,0.614965756320284,59135,4024.7818550773654
0,Bullish,0.05,0.04,95,0.5746690769141057,51447,3864.6573172391004
0,Bullish,0.05,0.04,110,0.503862274411999,57738,4339.560168346669
0,Bullish,0.05,0.05,10,0.7098393974415176,25093,5197.680628063604
0,Bullish,0.05,0.05,25,0.5680648928447433,31683,4907.51270397374
0,Bullish,0.05,0.05,40,0.5500797386129371,25709,5224.2341203469605
0,Bullish,0.05,0.05,65,0.5988484082765477,48281,4721.78175679874
0,Bullish,0.05,0.05,80,0.5691869215742786,31227,5228.781503186345
0,Bullish,0.05,0.05,95,0.5016165073931441,42066,4758.856915323539
