,Unnamed: 0,Unnamed: 0.1,stoploss,takeprofit,nPCs,strategy,Min,Max,ROI%,nTrades,ROI%Validation,nTradesValidation
0,54,54,0.05,0.05,10,Bullish,0.9500000000000004,1.0000000000000004,3.1693461612335287,10166,0.7721434013206177,5452
1,53,53,0.05,0.05,10,Bullish,0.9000000000000004,1.0000000000000004,2.793478783750797,12616,0.4538958758947131,8662
2,51,51,0.05,0.05,10,Bullish,0.8500000000000003,1.0000000000000004,2.6033532488468487,14482,0.4318152164577103,10688
3,48,48,0.05,0.05,10,Bullish,0.8000000000000003,1.0000000000000004,2.4642703240281523,16129,0.4168002367851565,12153
4,54,54,0.05,0.04,10,Bullish,0.9500000000000004,1.0000000000000004,2.3590686465184567,8367,1.285946210198439,3477
5,44,44,0.05,0.05,10,Bullish,0.7500000000000002,1.0000000000000004,2.3522920057732764,17607,0.4204941227252344,13375
6,39,39,0.05,0.05,10,Bullish,0.7000000000000002,1.0000000000000004,2.2646436949442377,19008,0.4370245561805563,14400
7,33,33,0.05,0.05,10,Bullish,0.6500000000000001,1.0000000000000004,2.180118858782429,20393,0.4547938562418988,15428
8,54,54,0.04,0.05,10,Bullish,0.9500000000000004,1.0000000000000004,2.174667400535019,9439,0.11287842069197995,1633
9,26,26,0.05,0.05,10,Bullish,0.6000000000000001,1.0000000000000004,2.0968114796611363,21867,0.4563963199697893,16550
10,18,18,0.05,0.05,10,Bullish,0.55,1.0000000000000004,2.005898829788829,23393,0.4699984965290389,17632
11,53,53,0.04,0.05,10,Bullish,0.9000000000000004,1.0000000000000004,1.9284095920123805,12120,0.19689727673321414,2755
12,9,9,0.05,0.05,10,Bullish,0.5,1.0000000000000004,1.9146995649603504,25093,0.4961931524812594,18942
13,53,53,0.05,0.04,10,Bullish,0.9000000000000004,1.0000000000000004,1.9113302771813423,11282,0.9384681243476092,6254
14,54,54,0.04,0.04,10,Bullish,0.9500000000000004,1.0000000000000004,1.7906626300879394,3866,0.7365671369502343,1869
15,51,51,0.04,0.05,10,Bullish,0.8500000000000003,1.0000000000000004,1.7651378388056371,13706,0.18254555268061046,3682
16,40,40,0.03,0.05,10,Bullish,0.7500000000000002,0.8000000000000003,1.7457229549130642,2243,0.9595541778957162,537
17,51,51,0.05,0.04,10,Bullish,0.8500000000000003,1.0000000000000004,1.6567968242920916,13646,0.8046094692166204,8323
18,27,27,0.03,0.05,10,Bullish,0.6500000000000001,0.7000000000000002,1.654653873139476,1943,1.1368925948556872,589
19,48,48,0.04,0.05,10,Bullish,0.8000000000000003,1.0000000000000004,1.6323555761453108,15044,0.17271726546211136,4447
20,29,29,0.03,0.05,10,Bullish,0.6500000000000001,0.8000000000000003,1.6296501668692869,6235,1.003562702807424,1724
21,35,35,0.03,0.05,10,Bullish,0.7000000000000002,0.8000000000000003,1.6183309214631878,4292,0.9343721244669596,1135
22,22,22,0.03,0.05,10,Bullish,0.6000000000000001,0.8000000000000003,1.6106655325139,8274,0.9987289572473288,2434
23,20,20,0.03,0.05,10,Bullish,0.6000000000000001,0.7000000000000002,1.6024033905323964,3982,1.0549606779599685,1299
24,14,14,0.03,0.05,10,Bullish,0.55,0.8000000000000003,1.5998271221588385,10325,0.8489694523228,3513
25,12,12,0.03,0.05,10,Bullish,0.55,0.7000000000000002,1.5866631396270516,6033,0.8082074536333042,2378
26,44,44,0.04,0.05,10,Bullish,0.7500000000000002,1.0000000000000004,1.5705428526158998,16243,0.13943477032365822,5098
27,41,41,0.03,0.05,10,Bullish,0.7500000000000002,0.8500000000000003,1.5697694092757903,4750,1.126019815814634,1025
28,30,30,0.03,0.05,10,Bullish,0.6500000000000001,0.8500000000000003,1.567332063214368,8742,1.0709908758227844,2212
29,23,23,0.03,0.05,10,Bullish,0.6000000000000001,0.8500000000000003,1.5645482536137654,10781,1.0505804242368235,2922
30,28,28,0.03,0.05,10,Bullish,0.6500000000000001,0.7500000000000002,1.5644319144689385,3992,1.023472203967986,1187
31,15,15,0.03,0.05,10,Bullish,0.55,0.8500000000000003,1.5631984992581054,12832,0.9051035750287422,4001
32,21,21,0.03,0.05,10,Bullish,0.6000000000000001,0.7500000000000002,1.5604360849195829,6031,1.0098184967896673,1897
33,13,13,0.03,0.05,10,Bullish,0.55,0.7500000000000002,1.5593366058426137,8082,0.8290151520430098,2976
34,10,10,0.03,0.05,10,Bullish,0.55,0.6000000000000001,1.55610356912238,2051,0.5111430992307674,1079
35,48,48,0.05,0.04,10,Bullish,0.8000000000000003,1.0000000000000004,1.555765560304605,15889,0.7783653475890965,10353
36,11,11,0.03,0.05,10,Bullish,0.55,0.6500000000000001,1.5543633852958438,4090,0.6999930611347107,1789
37,19,19,0.03,0.05,10,Bullish,0.6000000000000001,0.6500000000000001,1.5526129600735659,2039,0.9869918060563374,710
38,36,36,0.03,0.05,10,Bullish,0.7000000000000002,0.8500000000000003,1.5423774703794682,6799,1.0470746019408497,1623
39,5,5,0.03,0.05,10,Bullish,0.5,0.8000000000000003,1.5423254951755658,12474,0.70551590652917,5382
40,6,6,0.03,0.05,10,Bullish,0.5,0.8500000000000003,1.5205738157005542,14981,0.7557029517240192,5870
41,44,44,0.05,0.04,10,Bullish,0.7500000000000002,1.0000000000000004,1.5180727709606807,18341,0.8154480248757902,12681
42,39,39,0.04,0.05,10,Bullish,0.7000000000000002,1.0000000000000004,1.5081843794746248,17416,0.14281023252211014,5654
43,3,3,0.03,0.05,10,Bullish,0.5,0.7000000000000002,1.5024556235516993,8182,0.6443546615658097,4247
44,4,4,0.03,0.05,10,Bullish,0.5,0.7500000000000002,1.4977335195924155,10231,0.6773593427058809,4845
45,16,16,0.03,0.05,10,Bullish,0.55,0.9000000000000004,1.4964306823952522,15585,0.9488462995095,4526
46,39,39,0.05,0.04,10,Bullish,0.7000000000000002,1.0000000000000004,1.4927942019999918,20600,0.7973195929899917,15000
47,24,24,0.03,0.05,10,Bullish,0.6000000000000001,0.9000000000000004,1.4873875989995573,13534,1.0858587024978237,3447
48,34,34,0.03,0.05,10,Bullish,0.7000000000000002,0.7500000000000002,1.478877368008785,2049,0.9117588089297651,598
49,31,31,0.03,0.05,10,Bullish,0.6500000000000001,0.9000000000000004,1.475817828557634,11495,1.111505577351114,2737
50,7,7,0.03,0.05,10,Bullish,0.5,0.9000000000000004,1.468513892841999,17734,0.7989265480078174,6395
51,33,33,0.04,0.05,10,Bullish,0.6500000000000001,1.0000000000000004,1.4628746407535909,18538,0.1483255121310164,6152
52,2,2,0.03,0.05,10,Bullish,0.5,0.6500000000000001,1.4550568098076615,6239,0.565047706205575,3658
53,37,37,0.03,0.05,10,Bullish,0.7000000000000002,0.9000000000000004,1.4394402704941376,9552,1.104544239683426,2148
54,27,27,0.01,0.05,10,Bullish,0.6500000000000001,0.7000000000000002,1.4377386364418248,593,0.8470070131654702,139
55,42,42,0.03,0.05,10,Bullish,0.7500000000000002,0.9000000000000004,1.428670363415967,7503,1.1789221026451608,1550
56,33,33,0.05,0.04,10,Bullish,0.6500000000000001,1.0000000000000004,1.4282028223886185,22649,0.7834142942412173,17950
57,26,26,0.04,0.05,10,Bullish,0.6000000000000001,1.0000000000000004,1.4247720234764767,19701,0.18216759764653306,6688
58,45,45,0.03,0.05,10,Bullish,0.8000000000000003,0.8500000000000003,1.4123446773793378,2507,1.309200241147541,488
59,1,1,0.03,0.05,10,Bullish,0.5,0.6000000000000001,1.4076956216190477,4200,0.4634261624830374,2948
60,18,18,0.04,0.05,10,Bullish,0.55,1.0000000000000004,1.3921898418714074,20856,0.2253351905539851,7419
61,17,17,0.03,0.05,10,Bullish,0.55,0.9500000000000004,1.3891652026595411,18898,0.9994863769297548,5068
62,8,8,0.03,0.05,10,Bullish,0.5,0.9500000000000004,1.3765951057343089,21047,0.8476364251419911,6937
63,25,25,0.03,0.05,10,Bullish,0.6000000000000001,0.9500000000000004,1.3688416679284146,16847,1.1315802341965404,3989
64,28,28,0.01,0.05,10,Bullish,0.6500000000000001,0.7500000000000002,1.3583531437686598,1072,1.0071306118918948,222
65,9,9,0.04,0.05,10,Bullish,0.5,1.0000000000000004,1.3559302545714709,22192,0.2466969607997173,8428
66,32,32,0.03,0.05,10,Bullish,0.6500000000000001,0.9500000000000004,1.3435371254727175,14808,1.1628878840835621,3279
67,26,26,0.05,0.04,10,Bullish,0.6000000000000001,1.0000000000000004,1.3250495077676179,24736,0.7715869759816524,21484
68,49,49,0.05,0.05,10,Bullish,0.8500000000000003,0.9000000000000004,1.317917156484461,1866,0.33741113351431445,2026
69,29,29,0.01,0.05,10,Bullish,0.6500000000000001,0.8000000000000003,1.3158923630447796,1340,1.1624889858620722,261
70,38,38,0.03,0.05,10,Bullish,0.7000000000000002,0.9500000000000004,1.2965491860466378,12865,1.168579789420074,2690
71,46,46,0.03,0.05,10,Bullish,0.8000000000000003,0.9000000000000004,1.2934709408441063,5260,1.2952109235636724,1013
72,34,34,0.05,0.04,10,Bullish,0.7000000000000002,0.7500000000000002,1.2875554975697128,2259,0.6981877927554898,2319
73,46,46,0.05,0.05,10,Bullish,0.8000000000000003,0.9000000000000004,1.2820061828778841,3513,0.3247571471354918,3491
74,35,35,0.05,0.04,10,Bullish,0.7000000000000002,0.8000000000000003,1.2804078907917558,4711,0.8395475470755244,4647
75,40,40,0.05,0.04,10,Bullish,0.7500000000000002,0.8000000000000003,1.2738228811215249,2452,0.9803608074999918,2328
76,50,50,0.05,0.05,10,Bullish,0.8500000000000003,0.9500000000000004,1.2702012684661743,4316,0.07744751900305598,5236
77,0,0,0.03,0.05,10,Bullish,0.5,0.55,1.2660554632526757,2149,0.4358785034403405,1869
78,47,47,0.05,0.05,10,Bullish,0.8000000000000003,0.9500000000000004,1.2622242128375,5963,0.12768951703477122,6701
79,43,43,0.03,0.05,10,Bullish,0.7500000000000002,0.9500000000000004,1.2620086493565088,10816,1.241992287667304,2092
80,34,34,0.01,0.05,10,Bullish,0.7000000000000002,0.7500000000000002,1.2600742353027172,479,1.2752894097590393,83
81,54,54,0.05,0.03,10,Bullish,0.9500000000000004,1.0000000000000004,1.2417532087844283,15647,0.3634356357415467,10060
82,45,45,0.05,0.05,10,Bullish,0.8000000000000003,0.8500000000000003,1.2413201617789942,1647,0.3072575045392496,1465
83,21,21,0.01,0.05,10,Bullish,0.6000000000000001,0.7500000000000002,1.2405975373076954,1820,0.7251164010666692,450
84,42,42,0.05,0.05,10,Bullish,0.7500000000000002,0.9000000000000004,1.2370821498397135,4991,0.3591052014534274,4713
85,43,43,0.05,0.05,10,Bullish,0.7500000000000002,0.9500000000000004,1.2360210012834318,7441,0.17851610090243614,7923
86,18,18,0.05,0.04,10,Bullish,0.55,1.0000000000000004,1.2345778028803116,26997,0.7272807505878128,25569
87,52,52,0.05,0.05,10,Bullish,0.9000000000000004,0.9500000000000004,1.2338592900816348,2450,-0.08662920467289717,3210
88,20,20,0.01,0.05,10,Bullish,0.6000000000000001,0.7000000000000002,1.2336405363087282,1341,0.6006903527792938,367
89,54,54,0.04,0.05,65,Bullish,0.9500000000000004,1.0000000000000004,1.2286021429585288,32550,0.4740746341379335,29
90,22,22,0.01,0.05,10,Bullish,0.6000000000000001,0.8000000000000003,1.2284620279023022,2088,0.8305296726993893,489
91,38,38,0.05,0.05,10,Bullish,0.7000000000000002,0.9500000000000004,1.2244711918570477,8842,0.23283725804649116,8948
92,37,37,0.05,0.05,10,Bullish,0.7000000000000002,0.9000000000000004,1.2208728125312909,6392,0.41155586127570665,5738
93,35,35,0.01,0.05,10,Bullish,0.7000000000000002,0.8000000000000003,1.2191656694377542,747,1.5219315613114788,122
94,32,32,0.05,0.05,10,Bullish,0.6500000000000001,0.9500000000000004,1.1967919049623563,10227,0.2813586397453895,9976
95,53,53,0.04,0.04,10,Bullish,0.9000000000000004,1.0000000000000004,1.1920968871125115,7581,0.5926869179440603,2646
96,41,41,0.05,0.05,10,Bullish,0.7500000000000002,0.8500000000000003,1.188813950672002,3125,0.37546254482694497,2687
97,54,54,0.01,0.03,10,Bullish,0.9500000000000004,1.0000000000000004,1.185717690981594,326,-0.3795591620000003,5
98,49,49,0.03,0.05,10,Bullish,0.8500000000000003,0.9000000000000004,1.1852194125136208,2753,1.2822075197904759,525
99,31,31,0.05,0.05,10,Bullish,0.6500000000000001,0.9000000000000004,1.1851145109103791,7777,0.455943472819983,6766
100,36,36,0.05,0.05,10,Bullish,0.7000000000000002,0.8500000000000003,1.180862926137872,4526,0.4520238619342681,3712
101,13,13,0.01,0.05,10,Bullish,0.55,0.7500000000000002,1.1759316881798672,2791,0.4236442804651184,860
102,14,14,0.01,0.05,10,Bullish,0.55,0.8000000000000003,1.17331367704152,3059,0.494060857252505,899
103,36,36,0.05,0.04,10,Bullish,0.7000000000000002,0.8500000000000003,1.1709679460612514,6954,0.7882326318046943,6677
104,25,25,0.05,0.05,10,Bullish,0.6000000000000001,0.9500000000000004,1.1649776558114713,11701,0.3012825077941977,11098
105,34,34,0.05,0.05,10,Bullish,0.7000000000000002,0.7500000000000002,1.163127771484656,1401,0.652726553707318,1025
106,12,12,0.01,0.05,10,Bullish,0.55,0.7000000000000002,1.1584990410899685,2312,0.33267060513513713,777
107,24,24,0.05,0.05,10,Bullish,0.6000000000000001,0.9000000000000004,1.1467353032050611,9251,0.4591421169497979,7888
108,35,35,0.05,0.05,10,Bullish,0.7000000000000002,0.8000000000000003,1.1462769354810718,2879,0.5464086921895871,2247
109,40,40,0.01,0.05,10,Bullish,0.7500000000000002,0.8000000000000003,1.1460492401492568,268,2.0468366530769275,39
110,53,53,0.04,0.05,65,Bullish,0.9000000000000004,1.0000000000000004,1.1439715688594898,34011,-0.4735074735294106,51
111,30,30,0.05,0.05,10,Bullish,0.6500000000000001,0.8500000000000003,1.143191023067165,5911,0.5066072954852329,4740
112,47,47,0.03,0.05,10,Bullish,0.8000000000000003,0.9500000000000004,1.1354518795719113,8573,1.3395287924565915,1555
113,40,40,0.05,0.05,10,Bullish,0.7500000000000002,0.8000000000000003,1.1303039847090683,1478,0.45723045319149,1222
114,9,9,0.05,0.04,10,Bullish,0.5,1.0000000000000004,1.1302259220640016,29433,0.681509818115449,30193
115,29,29,0.05,0.04,10,Bullish,0.6500000000000001,0.8000000000000003,1.1283737776035423,6760,0.7902948714018609,7597
116,41,41,0.05,0.04,10,Bullish,0.7500000000000002,0.8500000000000003,1.1148718270287457,4695,0.8361477262872794,4358
117,17,17,0.05,0.05,10,Bullish,0.55,0.9500000000000004,1.1116971535609,13227,0.3347526820032847,12180
118,29,29,0.05,0.05,10,Bullish,0.6500000000000001,0.8000000000000003,1.1052879528377129,4264,0.59578208746565,3275
119,23,23,0.05,0.05,10,Bullish,0.6000000000000001,0.8500000000000003,1.103482041428573,7385,0.5012142719208469,5862
120,30,30,0.01,0.05,10,Bullish,0.6500000000000001,0.8500000000000003,1.103291781100737,1499,1.1999468255882384,272
121,51,51,0.04,0.05,65,Bullish,0.8500000000000003,1.0000000000000004,1.1000853407618914,34887,-0.2423065506249986,64
122,23,23,0.01,0.05,10,Bullish,0.6000000000000001,0.8500000000000003,1.0928203505340484,2247,0.8582098424000026,500
123,28,28,0.05,0.05,10,Bullish,0.6500000000000001,0.7500000000000002,1.0920167054917462,2786,0.6782516915002447,2053
